Year,Firstname,Lastname,Category,Prize_Share,Motivation,Laureate_Id,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year
1902,Pieter,Zeeman,Physics,2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,3,male,1865-05-25,the Netherlands,Zonnemaire,NL,1943-10-09,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1865
1902,Ronald,Ross,Medicine,1,for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it,294,male,1857-05-13,India,Almora,IN,1932-09-16,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom,1857
1902,Hendrik A.,Lorentz,Physics,2,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena,2,male,1853-07-18,the Netherlands,Arnhem,NL,1928-02-04,the Netherlands,,NL,Leiden University,Leiden,the Netherlands,1853
1903,Pierre,Curie,Physics,4,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,5,male,1859-05-15,France,Paris,FR,1906-04-19,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France,1859
1903,Randal,Cremer,Peace,1,for his longstanding and devoted effort in favour of the ideas of peace and arbitration,466,male,1828-03-18,United Kingdom,Fareham,GB,1908-07-22,United Kingdom,London,GB,,,,1828
1903,Henri,Becquerel,Physics,2,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity,4,male,1852-12-15,France,Paris,FR,1908-08-25,France,,FR,École Polytechnique,Paris,France,1852
1903,Marie,Curie,Physics,4,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel,6,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,1934-07-04,France,Sallanches,FR,Sorbonne University,Paris,France,1867
1903,Niels Ryberg,Finsen,Medicine,1,in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science,295,male,1860-12-15,Faroe Islands (Denmark),Thorshavn,DK,1904-09-24,Denmark,Copenhagen,DK,Finsen Medical Light Institute,Copenhagen,Denmark,1860
1903,Bjørnstjerne,Bjørnson,Literature,1,as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit,572,male,1832-12-08,Norway,Kvikne,NO,1910-04-26,France,Paris,FR,,,,1832
1903,Svante,Arrhenius,Chemistry,1,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation,162,male,1859-02-19,Sweden,Vik,SE,1927-10-02,Sweden,Stockholm,SE,Stockholm University,Stockholm,Sweden,1859
1904,José,Echegaray,Literature,2,in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama,574,male,1832-04-19,Spain,Madrid,ES,1916-09-04,Spain,Madrid,ES,,,,1832
1904,Lord,Rayleigh,Physics,1,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies,8,male,1842-11-12,United Kingdom,Langford Grove Maldon Essex,GB,1919-06-30,United Kingdom,,GB,Royal Institution of Great Britain,London,United Kingdom,1842
1904,Institute of International Law,,Peace,1,for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane,467,org,,,,,,,,,,,,1873
1904,Sir William,Ramsay,Chemistry,1,in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system,163,male,1852-10-02,Scotland,Glasgow,GB,1916-07-23,United Kingdom,High Wycombe,GB,University College,London,United Kingdom,1852
1904,Ivan,Pavlov,Medicine,1,in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged,296,male,1849-09-14,Russia,Ryazan,RU,1936-02-27,Russia,Leningrad,RU,Military Medical Academy,St. Petersburg,Russia,1849
1904,Frédéric,Mistral,Literature,2,in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist,573,male,1830-09-08,France,Maillane,FR,1914-03-25,France,Maillane,FR,,,,1830
1905,Adolf,von Baeyer,Chemistry,1,in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds,164,male,1835-10-31,Prussia (now Germany),Berlin,DE,1917-08-20,Germany,Starnberg,DE,Munich University,Munich,Germany,1835
1905,Henryk,Sienkiewicz,Literature,1,because of his outstanding merits as an epic writer,575,male,1846-05-05,Poland,Wola Okrzejska,PL,1916-11-15,Switzerland,Vevey,CH,,,,1846
1905,Philipp,Lenard,Physics,1,for his work on cathode rays,9,male,1862-06-07,Hungary (now Slovakia),Pressburg (now Bratislava),SK,1947-05-20,Germany,Messelhausen,DE,Kiel University,Kiel,Germany,1862
1905,Bertha,von Suttner,Peace,1,for her audacity to oppose the horrors of war,468,female,1843-06-09,Austrian Empire (now Czech Republic),Prague,CZ,1914-06-21,Austria,Vienna,AT,,,,1843
1905,Robert,Koch,Medicine,1,for his investigations and discoveries in relation to tuberculosis,297,male,1843-12-11,Germany,Clausthal (now Clausthal-Zellerfeld),DE,1910-05-27,Germany,Baden-Baden,DE,Institute for Infectious Diseases,Berlin,Germany,1843
1906,Giosuè,Carducci,Literature,1,not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces,576,male,1835-07-27,Tuscany (now Italy),Val di Castello,IT,1907-02-16,Italy,Bologna,IT,,,,1835
1906,Theodore,Roosevelt,Peace,1,for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia,470,male,1858-10-27,USA,New York NY,US,1919-01-06,USA,Oyster Bay NY,US,,,,1858
1906,J.J.,Thomson,Physics,1,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases,10,male,1856-12-18,United Kingdom,Cheetham Hill,GB,1940-08-30,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1856
1906,Santiago,Ramón y Cajal,Medicine,2,in recognition of their work on the structure of the nervous system,299,male,1852-05-01,Spain,Petilla de Aragón,ES,1934-10-17,Spain,Madrid,ES,Madrid University,Madrid,Spain,1852
1906,Henri,Moissan,Chemistry,1,in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him,165,male,1852-09-28,France,Paris,FR,1907-02-20,France,Paris,FR,Sorbonne University,Paris,France,1852
1906,Camillo,Golgi,Medicine,2,in recognition of their work on the structure of the nervous system,298,male,1843-07-07,Italy,Corteno,IT,1926-01-21,Italy,Pavia,IT,Pavia University,Pavia,Italy,1843
1907,Alphonse,Laveran,Medicine,1,in recognition of his work on the role played by protozoa in causing diseases,300,male,1845-06-18,France,Paris,FR,1922-05-18,France,Paris,FR,Institut Pasteur,Paris,France,1845
1907,Eduard,Buchner,Chemistry,1,for his biochemical researches and his discovery of cell-free fermentation,166,male,1860-05-20,Bavaria (now Germany),Munich,DE,1917-08-13,Romania,Focsani,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1860
1907,Rudyard,Kipling,Literature,1,in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author,577,male,1865-12-30,British India (now India),Bombay (now Mumbai),IN,1936-01-18,United Kingdom,London,GB,,,,1865
1907,Louis,Renault,Peace,2,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences,472,male,1843-05-21,France,Autun,FR,1918-02-08,France,Barbizon,FR,Sorbonne University,Paris,France,1843
1907,Ernesto Teodoro,Moneta,Peace,2,for his work in the press and in peace meetings both public and private for an understanding between France and Italy,471,male,1833-09-20,Austrian Empire (now Italy),Milan,IT,1918-02-10,Italy,Milan,IT,,,,1833
1907,Albert A.,Michelson,Physics,1,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid,11,male,1852-12-19,Prussia (now Poland),Strelno (now Strzelno),PL,1931-05-09,USA,Pasadena CA,US,University of Chicago,Chicago IL,USA,1852
1908,Ernest,Rutherford,Chemistry,1,for his investigations into the disintegration of the elements and the chemistry of radioactive substances,167,male,1871-08-30,New Zealand,Nelson,NZ,1937-10-19,United Kingdom,Cambridge,GB,Victoria University,Manchester,United Kingdom,1871
1908,Rudolf,Eucken,Literature,1,in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life,578,male,1846-01-05,East Friesland (now Germany),Aurich,DE,1926-09-14,Germany,Jena,DE,,,,1846
1908,Fredrik,Bajer,Peace,2,for their long time work for the cause of peace as politicians peace society leaders orators and authors,474,male,1837-04-21,Denmark,Næstved,DK,1922-01-22,Denmark,Copenhagen,DK,,,,1837
1908,Ilya,Mechnikov,Medicine,2,in recognition of their work on immunity,301,male,1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),UA,1916-07-15,France,Paris,FR,Institut Pasteur,Paris,France,1845
1908,Paul,Ehrlich,Medicine,2,in recognition of their work on immunity,302,male,1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),PL,1915-08-20,Germany,Bad Homburg vor der Höhe,DE,Goettingen University,Göttingen,Germany,1854
1908,Klas Pontus,Arnoldson,Peace,2,for their long time work for the cause of peace as politicians peace society leaders orators and authors,473,male,1844-10-27,Sweden,Gothenburg,SE,1916-02-20,Sweden,Stockholm,SE,,,,1844
1908,Gabriel,Lippmann,Physics,1,for his method of reproducing colours photographically based on the phenomenon of interference,12,male,1845-08-16,Luxembourg,Hollerich,LU,1921-07-13,,,,Sorbonne University,Paris,France,1845
1909,Guglielmo,Marconi,Physics,2,in recognition of their contributions to the development of wireless telegraphy,13,male,1874-04-25,Italy,Bologna,IT,1937-07-20,Italy,Rome,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1874
1909,Theodor,Kocher,Medicine,1,for his work on the physiology pathology and surgery of the thyroid gland,303,male,1841-08-25,Switzerland,Bern,CH,1917-07-27,Switzerland,Bern,CH,Berne University,Bern,Switzerland,1841
1909,Selma,Lagerlöf,Literature,1,in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings,579,female,1858-11-20,Sweden,Mårbacka,SE,1940-03-16,Sweden,Mårbacka,SE,,,,1858
1909,Wilhelm,Ostwald,Chemistry,1,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction,168,male,1853-09-02,Russian Empire (now Latvia),Riga,LV,1932-04-04,Germany,Leipzig,DE,Leipzig University,Leipzig,Germany,1853
1909,Ferdinand,Braun,Physics,2,in recognition of their contributions to the development of wireless telegraphy,14,male,1850-06-06,Hesse-Kassel (now Germany),Fulda,DE,1918-04-20,USA,Brooklyn NY,US,Strasbourg University,Strasbourg,Germany (now France),1850
1909,Auguste,Beernaert,Peace,2,for their prominent position in the international movement for peace and arbitration,475,male,1829-07-26,Belgium,Ostend,BE,1912-10-06,Switzerland,Lucerne,CH,,,,1829
1909,Paul Henri,d'Estournelles de Constant,Peace,2,for their prominent position in the international movement for peace and arbitration,476,male,1852-11-22,France,La Flèche,FR,1924-05-15,France,Paris,FR,,,,1852
1910,Paul,Heyse,Literature,1,as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories,580,male,1830-03-15,Prussia (now Germany),Berlin,DE,1914-04-02,Germany,Munich,DE,,,,1830
1910,Permanent International Peace Bureau,,Peace,1,for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement,477,org,,,,,,,,,,,,1891
1910,Johannes Diderik,van der Waals,Physics,1,for his work on the equation of state for gases and liquids,15,male,1837-11-23,the Netherlands,Leiden,NL,1923-03-08,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1837
1910,Albrecht,Kossel,Medicine,1,in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances,304,male,1853-09-16,Mecklenburg (now Germany),Rostock,DE,1927-07-05,Germany,Heidelberg,DE,University of Heidelberg,Heidelberg,Germany,1853
1910,Otto,Wallach,Chemistry,1,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds,169,male,1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,1931-02-26,Germany,Göttingen,DE,Goettingen University,Göttingen,Germany,1847
1911,Alfred,Fried,Peace,2,for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations,479,male,1864-11-11,Austria,Vienna,AT,1921-05-04,Austria,Vienna,AT,,,,1864
1911,Tobias,Asser,Peace,2,for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations,478,male,1838-04-28,the Netherlands,Amsterdam,NL,1913-07-29,the Netherlands,the Hague,NL,,,,1838
1911,Marie,Curie,Chemistry,1,in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element,6,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,1934-07-04,France,Sallanches,FR,Sorbonne University,Paris,France,1867
1911,Wilhelm,Wien,Physics,1,for his discoveries regarding the laws governing the radiation of heat,16,male,1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),RU,1928-08-30,Germany,Munich,DE,Würzburg University,Würzburg,Germany,1864
1911,Maurice,Maeterlinck,Literature,1,in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations,581,male,1862-08-29,Belgium,Ghent,BE,1949-05-06,France,Nice,FR,,,,1862
1911,Allvar,Gullstrand,Medicine,1,for his work on the dioptrics of the eye,305,male,1862-06-05,Sweden,Landskrona,SE,1930-07-28,Sweden,Stockholm,SE,Uppsala University,Uppsala,Sweden,1862
1912,Gerhart,Hauptmann,Literature,1,primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art,582,male,1862-11-15,Prussia (now Poland),Bad Salzbrunn,PL,1946-06-06,Germany (now Poland),Agnetendorf (now Jagniatków),PL,,,,1862
1912,Alexis,Carrel,Medicine,1,in recognition of his work on vascular suture and the transplantation of blood vessels and organs,306,male,1873-06-28,France,Sainte-Foy-lès-Lyon,FR,1944-11-05,France,Paris,FR,Rockefeller Institute for Medical Research,New York NY,USA,1873
1912,Paul,Sabatier,Chemistry,2,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years,173,male,1854-11-05,France,Carcassonne,FR,1941-08-14,France,Toulouse,FR,Toulouse University,Toulouse,France,1854
1912,Victor,Grignard,Chemistry,2,for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry,172,male,1871-05-06,France,Cherbourg,FR,1935-12-13,France,Lyon,FR,Nancy University,Nancy,France,1871
1912,Gustaf,Dalén,Physics,1,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys,17,male,1869-11-30,Sweden,Stenstorp,SE,1937-12-09,Sweden,Stockholm,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,1869
1912,Elihu,Root,Peace,1,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries,480,male,1845-02-15,USA,Clinton NY,US,1937-02-07,USA,New York NY,US,,,,1845
1913,Charles,Richet,Medicine,1,in recognition of his work on anaphylaxis,307,male,1850-08-26,France,Paris,FR,1935-12-04,France,Paris,FR,Sorbonne University,Paris,France,1850
1913,Alfred,Werner,Chemistry,1,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry,174,male,1866-12-12,France,Mulhouse,FR,1919-11-15,Switzerland,Zurich,CH,University of Zurich,Zurich,Switzerland,1866
1913,Henri,La Fontaine,Peace,1,for his unparalleled contribution to the organization of peaceful internationalism,481,male,1854-04-22,Belgium,Brussels,BE,1943-05-14,Belgium,Brussels,BE,,,,1854
1913,Rabindranath,Tagore,Literature,1,because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West,583,male,1861-05-07,India,Calcutta,IN,1941-08-07,India,Calcutta,IN,,,,1861
1913,Heike,Kamerlingh Onnes,Physics,1,for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium,18,male,1853-09-21,the Netherlands,Groningen,NL,1926-02-21,the Netherlands,Leiden,NL,Leiden University,Leiden,the Netherlands,1853
1914,Max,von Laue,Physics,1,for his discovery of the diffraction of X-rays by crystals,19,male,1879-10-09,Germany,Pfaffendorf,DE,1960-04-23,West Germany (now Germany),Berlin,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1879
1914,Robert,Bárány,Medicine,1,for his work on the physiology and pathology of the vestibular apparatus,308,male,1876-04-22,Austria,Vienna,AT,1936-04-08,Sweden,Uppsala,SE,Vienna University,Vienna,Austria,1876
1914,Theodore W.,Richards,Chemistry,1,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements,175,male,1868-01-31,USA,Germantown PA,US,1928-04-02,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1868
1915,William,Bragg,Physics,2,for their services in the analysis of crystal structure by means of X-rays,20,male,1862-07-02,United Kingdom,Wigton,GB,1942-03-12,United Kingdom,London,GB,University College,London,United Kingdom,1862
1915,Lawrence,Bragg,Physics,2,for their services in the analysis of crystal structure by means of X-rays,21,male,1890-03-31,Australia,Adelaide,AU,1971-07-01,United Kingdom,Ipswich,GB,Victoria University,Manchester,United Kingdom,1890
1915,Richard,Willstätter,Chemistry,1,for his researches on plant pigments especially chlorophyll,176,male,1872-08-13,Germany,Karlsruhe,DE,1942-08-03,Switzerland,Locarno,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1872
1915,Romain,Rolland,Literature,1,as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,584,male,1866-01-29,France,Clamecy,FR,1944-12-30,France,Vézelay,FR,,,,1866
1916,Verner,von Heidenstam,Literature,1,in recognition of his significance as the leading representative of a new era in our literature,585,male,1859-07-06,Sweden,Olshammar,SE,1940-05-20,Sweden,Övralid,SE,,,,1859
1917,International Committee of the Red Cross,,Peace,1,for the efforts to take care of wounded soldiers and prisoners of war and their families,482,org,,,,,,,,,,,,1863
1917,Charles Glover,Barkla,Physics,1,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,22,male,1877-06-07,United Kingdom,Widnes,GB,1944-10-23,Scotland,Edinburgh,GB,Edinburgh University,Edinburgh,United Kingdom,1877
1917,Karl,Gjellerup,Literature,2,for his varied and rich poetry which is inspired by lofty ideals,586,male,1857-06-02,Denmark,Roholte,DK,1919-10-11,Germany,Klotzsche,DE,,,,1857
1917,Henrik,Pontoppidan,Literature,2,for his authentic descriptions of present-day life in Denmark,587,male,1857-07-24,Denmark,Fredericia,DK,1943-08-21,Denmark,Ordrup,DK,,,,1857
1918,Max,Planck,Physics,1,in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta,23,male,1858-04-23,Schleswig (now Germany),Kiel,DE,1947-10-04,West Germany (now Germany),Göttingen,DE,Berlin University,Berlin,Germany,1858
1918,Fritz,Haber,Chemistry,1,for the synthesis of ammonia from its elements,177,male,1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),PL,1934-01-29,Switzerland,Basel,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1868
1919,Woodrow,Wilson,Peace,1,for his role as founder of the League of Nations,483,male,1856-12-28,USA,Staunton VA,US,1924-02-03,USA,Washington D.C.,US,,,,1856
1919,Jules,Bordet,Medicine,1,for his discoveries relating to immunity,309,male,1870-06-13,Belgium,Soignies,BE,1961-04-06,Belgium,Brussels,BE,Brussels University,Brussels,Belgium,1870
1919,Johannes,Stark,Physics,1,for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields,24,male,1874-04-15,Germany,Schickenhof,DE,1957-06-21,West Germany (now Germany),Traunstein,DE,Greifswald University,Greifswald,Germany,1874
1919,Carl,Spitteler,Literature,1,in special appreciation of his epic <I>Olympian Spring</I>,588,male,1845-04-24,Switzerland,Liestal,CH,1924-12-29,Switzerland,Lucerne,CH,,,,1845
1920,Charles Edouard,Guillaume,Physics,1,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,25,male,1861-02-15,Switzerland,Fleurier,CH,1938-06-13,France,Sèvres,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1861
1920,Walther,Nernst,Chemistry,1,in recognition of his work in thermochemistry,178,male,1864-06-25,Prussia (now Poland),Briesen (now Wąbrzeźno),PL,1941-11-18,Germany,Muskau,DE,Berlin University,Berlin,Germany,1864
1920,August,Krogh,Medicine,1,for his discovery of the capillary motor regulating mechanism,310,male,1874-11-15,Denmark,Grenå,DK,1949-09-13,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark,1874
1920,Léon,Bourgeois,Peace,1,for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations,484,male,1851-05-21,France,Paris,FR,1925-09-29,France,Épernay,FR,,,,1851
1920,Knut,Hamsun,Literature,1,for his monumental work <I>Growth of the Soil</I>,589,male,1859-08-04,Norway,Lom,NO,1952-02-19,Norway,Grimstad,NO,,,,1859
1921,Anatole,France,Literature,1,in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament,590,male,1844-04-16,France,Paris,FR,1924-10-12,France,Saint-Cyr-sur-Loire,FR,,,,1844
1921,Hjalmar,Branting,Peace,2,for their lifelong contributions to the cause of peace and organized internationalism,485,male,1860-11-23,Sweden,Stockholm,SE,1925-02-24,Sweden,Stockholm,SE,,,,1860
1921,Albert,Einstein,Physics,1,for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect,26,male,1879-03-14,Germany,Ulm,DE,1955-04-18,USA,Princeton NJ,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1879
1921,Frederick,Soddy,Chemistry,1,for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes,179,male,1877-09-02,United Kingdom,Eastbourne,GB,1956-09-22,United Kingdom,Brighton,GB,University of Oxford,Oxford,United Kingdom,1877
1921,Christian,Lange,Peace,2,for their lifelong contributions to the cause of peace and organized internationalism,486,male,1869-09-17,Norway,Stavanger,NO,1938-12-11,Norway,Oslo,NO,,,,1869
1922,Niels,Bohr,Physics,1,for his services in the investigation of the structure of atoms and of the radiation emanating from them,27,male,1885-10-07,Denmark,Copenhagen,DK,1962-11-18,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark,1885
1922,Fridtjof,Nansen,Peace,1,for his leading role in the repatriation of prisoners of war in international relief work and as the League of Nations' High Commissioner for refugees,487,male,1861-10-10,Norway,Kristiania (now Oslo),NO,1930-05-13,Norway,Oslo,NO,,,,1861
1922,Francis W.,Aston,Chemistry,1,for his discovery by means of his mass spectrograph of isotopes in a large number of non-radioactive elements and for his enunciation of the whole-number rule,180,male,1877-09-01,United Kingdom,Harborne,GB,1945-11-20,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom,1877
1922,Otto,Meyerhof,Medicine,2,for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,312,male,1884-04-12,Germany,Hanover,DE,1951-10-06,USA,Philadelphia PA,US,Kiel University,Kiel,Germany,1884
1922,Jacinto,Benavente,Literature,1,for the happy manner in which he has continued the illustrious traditions of the Spanish drama,592,male,1866-08-12,Spain,Madrid,ES,1954-07-14,Spain,Madrid,ES,,,,1866
1922,Archibald V.,Hill,Medicine,2,for his discovery relating to the production of heat in the muscle,311,male,1886-09-26,United Kingdom,Bristol,GB,1977-06-03,United Kingdom,Cambridge,GB,London University,London,United Kingdom,1886
1923,Frederick G.,Banting,Medicine,2,for the discovery of insulin,313,male,1891-11-14,Canada,Alliston,CA,1941-02-21,Canada,Newfoundland,CA,University of Toronto,Toronto,Canada,1891
1923,John,Macleod,Medicine,2,for the discovery of insulin,314,male,1876-09-06,Scotland,Cluny,GB,1935-03-16,Scotland,Aberdeen,GB,University of Toronto,Toronto,Canada,1876
1923,Robert A.,Millikan,Physics,1,for his work on the elementary charge of electricity and on the photoelectric effect,28,male,1868-03-22,USA,Morrison IL,US,1953-12-19,USA,San Marino CA,US,California Institute of Technology (Caltech),Pasadena CA,USA,1868
1923,Fritz,Pregl,Chemistry,1,for his invention of the method of micro-analysis of organic substances,181,male,1869-09-03,Austria-Hungary (now Slovenia),Laibach (now Ljubljana),SI,1930-12-13,Austria,Graz,AT,Graz University,Graz,Austria,1869
1923,William Butler,Yeats,Literature,1,for his always inspired poetry which in a highly artistic form gives expression to the spirit of a whole nation,593,male,1865-06-13,Ireland,Dublin,IE,1939-01-28,France,Roquebrune-Cap-Martin,FR,,,,1865
